"track_id","track_name","track_popularity","album_name","album_type","album_label","album_popularity","artist_num","artist_name","artist_followers","artist_popularity","pop","hip_hop","rock","electro","christmas","cinema","latino","collab","explicit","danceability","energy","key","mode","time_signature","loudness","speechiness","acousticness","liveness","valence","tempo","duration","streams","year_release","month_release","day_release","weekday_release","year_week","month_week","week_index","rank_group"
"6Hj9jySrnFppAI0sEMCZpJ","Robbery",9,"Death Race For Love","album","Grade A Productions/Interscope Records",7,1,"Juice WRLD",26104547,89,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",0.685,0.692,"2","1","5",-5.122,0.0457,0.328,0.153,0.578,159.966,240.05,16634927,"2019","03","08","viernes","2019","03",113,"11-20"
"7uH27oIt4a6cIFCA8ZPcyG","Baila Baila Baila",1,"Baila Baila Baila","single","VP Records Corp/Dimelo Vi",0,1,"Ozuna",33993948,88,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",0.816,0.754,"11","0","4",-2.75,0.111,0.0361,0.217,0.533,99.966,158.4,16200729,"2019","01","05","sábado","2019","03",113,"11-20"
"6MjNilJCVKJq0LfFvo5jWJ","Fast",3,"Death Race For Love","album","Grade A Productions/Interscope Records",7,1,"Juice WRLD",26104547,89,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",0.623,0.608,"1","0","4",-5.937,0.0434,0.426,0.105,0.263,84.98,208.517,16064879,"2019","03","08","viernes","2019","03",113,"11-20"
"7eBqSVxrzQZtK2mmgRG6lC","Murder On My Mind",78,"I AM YOU","album","P2018",70,1,"YNW Melly",8092628,74,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",0.759,0.73,"0","0","4",-7.985,0.0516,0.145,0.11,0.74,115.007,268.434,16003011,"2018","08","03","viernes","2019","03",113,"21-30"
"7COXchtUOMd6uIT6HvmRaI","i'm so tired...",1,"i'm so tired...","single","Lauv",0,2,"Lauv",5308777,78,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.599,0.733,"11","1","4",-7.058,0.203,0.176,0.242,0.534,102.211,162.582,15701303,"2019","01","24","jueves","2019","03",113,"21-30"
"0rTV5WefWd1J3OwIheTzxM","Talk",69,"Talk","single","Right Hand Music Group, LLC/RCA Records",56,2,"Khalid",15574450,86,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.9,0.4,"0","1","4",-8.443,0.124,0.0501,0.0876,0.338,136.001,197.487,15051794,"2019","02","07","jueves","2019","03",113,"21-30"
"5itOtNx0WxtJmi1TQ3RuRd","Giant (with Rag'n'Bone Man)",72,"Giant (with Rag'n'Bone Man)","single","Columbia",60,2,"Calvin Harris",22908941,85,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.807,0.887,"1","0","4",-4.311,0.0361,0.016,0.0811,0.606,122.015,229.184,14444509,"2019","01","11","viernes","2019","03",113,"21-30"
"4w8niZpiMy6qz1mntFA5uM","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",76,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","single","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",63,4,"DJ Snake",8141862,78,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE",0.842,0.801,"8","0","4",-4.167,0.228,0.157,0.0642,0.617,95.881,212.5,14120363,"2018","09","28","viernes","2019","03",113,"21-30"
"1WSGTYKLEpKfNQYYW5Oymt","I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",66,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","single","NEON16/Friends Keep Secrets/Interscope Records",54,4,"benny blanco",1003429,76,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.541,0.468,"10","0","4",-4.039,0.362,0.404,0.358,0.69,95.266,158.027,14098508,"2019","02","28","jueves","2019","03",113,"21-30"
"2IRZnDFmlqMuOrYOLnZZyc","Going Bad (feat. Drake)",79,"Championships","album","MMG/Atlantic",70,2,"Meek Mill",6591884,76,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE",0.889,0.496,"4","0","4",-6.365,0.0905,0.259,0.252,0.544,86.003,180.522,13875424,"2018","11","30","viernes","2019","03",113,"21-30"
"0PG9fbaaHFHfre2gUVo7AN","Please Me",74,"Please Me","single","Atlantic/KSR",61,2,"Cardi B",20550098,81,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE",0.747,0.57,"1","1","4",-6.711,0.081,0.0642,0.0832,0.65,133.992,200.889,13703398,"2019","02","15","viernes","2019","03",113,"21-30"
"5WHTFyqSii0lmT9R21abT8","Don't Call Me Up",77,"Ivy To Roses (Mixtape)","album","Polydor Records",65,1,"Mabel",1689817,70,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.674,0.881,"9","1","4",-2.853,0.147,0.296,0.0793,0.234,98.994,178.48,13446481,"2019","01","18","viernes","2019","03",113,"21-30"
"116H0KvKr2Zl4RPuVBruDO","MIA (feat. Drake)",78,"MIA (feat. Drake)","single","OVO Sound/Warner Records",66,2,"Bad Bunny",57849231,99,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.817,0.539,"6","0","4",-6.349,0.0621,0.0141,0.099,0.158,97.062,210.367,12950369,"2018","10","11","jueves","2019","03",113,"21-30"
"1rqqCSm0Qe4I9rUvWncaom","High Hopes",81,"Pray for the Wicked","album","DCD2 / Fueled By Ramen",72,1,"Panic! At The Disco",11488092,79,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.579,0.904,"5","1","4",-2.729,0.0618,0.193,0.064,0.681,82.014,190.946,12839359,"2018","06","22","viernes","2019","03",113,"31-40"
"7tFiyTwD0nx5a1eklYtX2J","Bohemian Rhapsody - Remastered 2011",73,"A Night At The Opera (Deluxe Remastered Version)","album","EMI",64,1,"Queen",43283736,85,"FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.392,0.402,"0","0","4",-9.961,0.0536,0.288,0.243,0.228,143.883,354.32,12122007,"1975","11","21","viernes","2019","03",113,"31-40"
"6FyRXC8tJUh863JCkyWqtk","Adan y Eva",70,"Adan y Eva","single","WEA Latina",58,1,"Paulo Londra",19010218,79,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.767,0.709,"1","1","4",-4.47,0.336,0.323,0.0676,0.72,171.993,258.638,11990988,"2018","11","05","lunes","2019","03",113,"31-40"
"2xLMifQCjDGFmkHkpNLD9h","SICKO MODE",82,"ASTROWORLD","album","Cactus Jack / Epic / Grand Hustle",81,1,"Travis Scott",21210908,88,"FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE",0.834,0.73,"8","1","4",-3.714,0.222,0.00513,0.124,0.446,155.008,312.82,11785282,"2018","08","03","viernes","2019","03",113,"31-40"
"1DUSuNhF8P5vUGNPpQiZa5","My Bad",57,"My Bad","single","Right Hand Music Group, LLC/RCA Records",44,1,"Khalid",15574450,86,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0.645,0.568,"5","0","4",-9.127,0.0823,0.543,0.257,0.391,84.999,166.101,11627773,"2019","03","07","jueves","2019","03",113,"31-40"
"2qxmye6gAegTMjLKEBoR3d","Let Me Down Slowly",85,"Narrated For You","album","2018",78,1,"Alec Benjamin",3861623,77,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.652,0.557,"1","0","4",-5.714,0.0318,0.74,0.124,0.483,150.073,169.353,11380826,"2018","11","16","viernes","2019","03",113,"31-40"
"3oh6SCCeLuXhFpEyepla6G","Thotiana",0,"Famous Cryp","album","eOne Music",0,1,"Blueface",5451771,68,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",0.906,0.382,"10","0","4",-12.89,0.269,0.18,0.113,0.391,104.025,129.264,11144060,"2018","12","18","martes","2019","03",113,"31-40"
"3Ol2xnObFdKV9pmRD2t9x8","Look Back at It",73,"Hoodie SZN","album","Highbridge the Label / Atlantic Records",72,1,"A Boogie Wit da Hoodie",6811649,81,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",0.791,0.587,"3","0","4",-5.075,0.0413,0.407,0.148,0.536,96.057,179.449,11141140,"2018","12","21","viernes","2019","03",113,"31-40"
"7FGq80cy8juXBCD2nrqdWU","Eastside (with Halsey & Khalid)",77,"FRIENDS KEEP SECRETS","album","Friends Keep Secrets/Interscope Records",67,3,"benny blanco",1003429,76,"TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.632,0.686,"6","0","4",-7.665,0.243,0.549,0.2,0.329,89.949,170.769,10970109,"2018","12","07","viernes","2019","03",113,"31-40"
"63cd4JkwGgYJrbOizbfmsp","Pure Water (with Migos)",1,"Pure Water (with Migos)","single","10 Summers / Interscope PS",0,2,"Mustard",1002204,74,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE",0.68,0.559,"0","1","4",-5.545,0.129,0.172,0.318,0.137,202.006,194.519,10808906,"2019","01","16","miércoles","2019","03",113,"31-40"
"6ocbgoVGwYJhOv1GgI9NsF","7 rings",84,"thank u, next","album","Republic Records",80,1,"Ariana Grande",84170537,89,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE",0.778,0.317,"1","0","4",-10.732,0.334,0.592,0.0881,0.327,140.048,178.626,33140804,"2019","02","08","viernes","2019","03",114,"1-10"
"5w9c2J52mkdntKOmRLeM2m","Con Calma",79,"Con Calma","single","El Cartel Records (EC3)",66,2,"Daddy Yankee",29917493,88,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",0.737,0.86,"8","0","4",-2.652,0.0593,0.11,0.0574,0.656,93.989,193.226,30456817,"2019","01","24","jueves","2019","03",114,"1-10"
"4y3OI86AEP6PQoDE6olYhO","Sucker",2,"Sucker","single","Jonas Brothers Recording",0,1,"Jonas Brothers",6555020,76,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.842,0.734,"1","0","4",-5.065,0.0588,0.0427,0.106,0.952,137.958,181.04,28098655,"2019","03","01","viernes","2019","03",114,"1-10"
"2VxeLyX666F8uXCJ0dZF8B","Shallow",84,"A Star Is Born Soundtrack","album","A Star is Born OST",75,2,"Lady Gaga",23533520,85,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.572,0.385,"7","1","4",-6.362,0.0308,0.371,0.231,0.323,95.799,215.733,24304247,"2018","10","05","viernes","2019","03",114,"1-10"
"3KkXRkHbMCARz0aVfEt68P","Sunflower - Spider-Man: Into the Spider-Verse",82,"Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","compilation","Universal Records",76,2,"Post Malone",38503280,89,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.76,0.479,"2","1","4",-5.574,0.0466,0.556,0.0703,0.913,89.911,158.04,24093634,"2018","12","14","viernes","2019","03",114,"1-10"
"4kV4N9D1iKVxx1KLvtTpjS","break up with your girlfriend, i'm bored",78,"thank u, next","album","Republic Records",80,1,"Ariana Grande",84170537,89,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE",0.726,0.554,"5","0","4",-5.29,0.0917,0.0421,0.106,0.335,169.999,190.44,23318973,"2019","02","08","viernes","2019","03",114,"1-10"
"6MWtB6iiXyIwun0YzU6DFP","Wow.",1,"Wow.","single","Republic Records",0,1,"Post Malone",38503280,89,"FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE",0.833,0.539,"11","0","4",-7.399,0.178,0.163,0.101,0.385,99.947,149.52,22700765,"2018","12","24","lunes","2019","03",114,"1-10"
"6Qs4SXO9dwPj5GKvVOv8Ki","Dancing With A Stranger (with Normani)",76,"Dancing With A Stranger (with Normani)","single","Capitol",64,2,"Sam Smith",20511382,88,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.741,0.52,"8","1","4",-7.513,0.0656,0.45,0.222,0.347,102.998,171.029,18604303,"2019","01","11","viernes","2019","03",114,"1-10"
"25sgk305KZfyuqVBQIahim","Sweet but Psycho",5,"Sweet but Psycho","single","Atlantic Records",1,1,"Ava Max",5668943,80,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",0.719,0.704,"1","1","4",-4.724,0.0476,0.0691,0.166,0.628,133.002,187.436,17606483,"2018","08","17","viernes","2019","03",114,"1-10"
"2dpaYNEQHiRxtZbfNsse99","Happier",83,"Happier","single","Astralwerks",70,2,"Marshmello",34432798,84,"TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE",0.687,0.792,"5","1","4",-2.749,0.0452,0.191,0.167,0.671,100.015,214.289,17503616,"2018","08","17","viernes","2019","03",114,"1-10"
"5iwz1NiezX7WWjnCgY5TH4","Calma - Remix",74,"Calma (Remix)","single","Sony Music Latin",61,2,"Pedro Capó",1536021,68,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",0.826,0.773,"11","0","4",-4.218,0.0524,0.323,0.143,0.761,126.899,238.2,17503145,"2018","10","05","viernes","2019","03",114,"11-20"
